max_depth,eta,valor
109,0.3,0.9027279120208852
109,0.1,0.8476666636711347
109,0.01,0.8563543728018118
110,0.3,0.9027279120208852
110,0.1,0.8476666636711347
110,0.01,0.8563543728018118
111,0.3,0.9027279120208852
111,0.1,0.8476666636711347
111,0.01,0.8563543728018118
112,0.3,0.9027279120208852
112,0.1,0.8476666636711347
112,0.01,0.8563543728018118
113,0.3,0.9027279120208852
113,0.1,0.8476666636711347
113,0.01,0.8563543728018118
114,0.3,0.9027279120208852
114,0.1,0.8476666636711347
114,0.01,0.8563543728018118
115,0.3,0.9027279120208852
115,0.1,0.8476666636711347
115,0.01,0.8563543728018118
116,0.3,0.9027279120208852
116,0.1,0.8476666636711347
116,0.01,0.8563543728018118
117,0.3,0.9027279120208852
117,0.1,0.8476666636711347
117,0.01,0.8563543728018118
118,0.3,0.9027279120208852
118,0.1,0.8476666636711347
118,0.01,0.8563543728018118
119,0.3,0.9027279120208852
119,0.1,0.8476666636711347
119,0.01,0.8563543728018118
120,0.3,0.9027279120208852
120,0.1,0.8476666636711347
120,0.01,0.8563543728018118
121,0.3,0.9027279120208852
121,0.1,0.8476666636711347
121,0.01,0.8563543728018118
122,0.3,0.9027279120208852
122,0.1,0.8476666636711347
122,0.01,0.8563543728018118
123,0.3,0.9027279120208852
123,0.1,0.8476666636711347
123,0.01,0.8563543728018118
124,0.3,0.9027279120208852
124,0.1,0.8476666636711347
124,0.01,0.8563543728018118
125,0.3,0.9027279120208852
125,0.1,0.8476666636711347
125,0.01,0.8563543728018118
126,0.3,0.9027279120208852
126,0.1,0.8476666636711347
126,0.01,0.8563543728018118
127,0.3,0.9027279120208852
127,0.1,0.8476666636711347
127,0.01,0.8563543728018118
128,0.3,0.9027279120208852
128,0.1,0.8476666636711347
128,0.01,0.8563543728018118
129,0.3,0.9027279120208852
129,0.1,0.8476666636711347
129,0.01,0.8563543728018118
130,0.3,0.9027279120208852
130,0.1,0.8476666636711347
130,0.01,0.8563543728018118
131,0.3,0.9027279120208852
131,0.1,0.8476666636711347
131,0.01,0.8563543728018118
132,0.3,0.9027279120208852
132,0.1,0.8476666636711347
132,0.01,0.8563543728018118
133,0.3,0.9027279120208852
133,0.1,0.8476666636711347
133,0.01,0.8563543728018118
134,0.3,0.9027279120208852
134,0.1,0.8476666636711347
134,0.01,0.8563543728018118
135,0.3,0.9027279120208852
135,0.1,0.8476666636711347
135,0.01,0.8563543728018118
136,0.3,0.9027279120208852
136,0.1,0.8476666636711347
136,0.01,0.8563543728018118
137,0.3,0.9027279120208852
137,0.1,0.8476666636711347
137,0.01,0.8563543728018118
138,0.3,0.9027279120208852
138,0.1,0.8476666636711347
138,0.01,0.8563543728018118
139,0.3,0.9027279120208852
139,0.1,0.8476666636711347
139,0.01,0.8563543728018118
140,0.3,0.9027279120208852
140,0.1,0.8476666636711347
140,0.01,0.8563543728018118
141,0.3,0.9027279120208852
141,0.1,0.8476666636711347
141,0.01,0.8563543728018118
142,0.3,0.9027279120208852
142,0.1,0.8476666636711347
142,0.01,0.8563543728018118
143,0.3,0.9027279120208852
143,0.1,0.8476666636711347
143,0.01,0.8563543728018118
144,0.3,0.9027279120208852
144,0.1,0.8476666636711347
144,0.01,0.8563543728018118
145,0.3,0.9027279120208852
145,0.1,0.8476666636711347
145,0.01,0.8563543728018118
146,0.3,0.9027279120208852
146,0.1,0.8476666636711347
146,0.01,0.8563543728018118
147,0.3,0.9027279120208852
147,0.1,0.8476666636711347
147,0.01,0.8563543728018118
148,0.3,0.9027279120208852
148,0.1,0.8476666636711347
148,0.01,0.8563543728018118
149,0.3,0.9027279120208852
149,0.1,0.8476666636711347
149,0.01,0.8563543728018118
150,0.3,0.9027279120208852
150,0.1,0.8476666636711347
150,0.01,0.8563543728018118
