max_depth,eta,valor
23,0.001,1.1058879534422315
24,0.3,1.1260443229549768
24,0.1,1.0518872271491992
24,0.01,1.1352856515760659
24,0.001,1.0993137298360047
25,0.3,1.1817082225088773
25,0.1,1.0320762142804174
25,0.01,1.0997574554911163
25,0.001,1.1370456871377073
26,0.3,1.1772259273457948
26,0.1,1.0479241583133496
26,0.01,1.1050886794913577
26,0.001,1.1120098806653929
27,0.3,1.1887968944143148
27,0.1,1.0310521452275931
27,0.01,1.0833791099285968
27,0.001,1.1063934835038658
28,0.3,1.2117384686855148
28,0.1,1.0550406019101133
28,0.01,1.1037508726187946
28,0.001,1.114218592219607
29,0.3,1.194614574788378
29,0.1,1.0692972624549626
29,0.01,1.1253464599293148
29,0.001,1.127103580440115
30,0.3,1.1631987999414601
30,0.1,1.056107847273698
30,0.01,1.0990983345938308
30,0.001,1.1332100406079075
31,0.3,1.1556803176902608
31,0.1,1.0581659454093233
31,0.01,1.093743055978404
31,0.001,1.116652096440842
32,0.3,1.1514848440533516
32,0.1,1.0541121535372748
32,0.01,1.1297846883861857
32,0.001,1.1156973376751302
33,0.3,1.1943336781857705
33,0.1,1.059009208482791
33,0.01,1.1062853936758357
33,0.001,1.1026181615271877
34,0.3,1.1930395099228766
34,0.1,1.0618127410226244
34,0.01,1.111320114668071
34,0.001,1.1054860321078963
35,0.3,1.179221994240243
35,0.1,1.0588372523076548
35,0.01,1.1153961913853638
35,0.001,1.110619910878871
36,0.3,1.191271963788907
36,0.1,1.0675511614418658
36,0.01,1.1123604360789088
36,0.001,1.1424928343634384
37,0.3,1.1967802029672914
37,0.1,1.056696418767601
37,0.01,1.1028886553724766
37,0.001,1.1199503895643765
38,0.3,1.1926788211415178
38,0.1,1.0663823768223466
38,0.01,1.1116387415889428
38,0.001,1.0925090839781846
39,0.3,1.1848694270291125
39,0.1,1.0676776332973168
39,0.01,1.0985086350605275
39,0.001,1.1132307539257429
40,0.3,1.1903765688760712
40,0.1,1.0676776332973168
40,0.01,1.0985086350605275
40,0.001,1.1162439653765943
41,0.3,1.1937574014035783
41,0.1,1.0676776332973168
41,0.01,1.0985086350605275
41,0.001,1.1186582025157696
42,0.3,1.1900289265141706
42,0.1,1.0676776332973168
42,0.01,1.0985086350605275
42,0.001,1.1189150494062758
43,0.3,1.1900289265141706
43,0.1,1.0676776332973168
43,0.01,1.0985086350605275
43,0.001,1.116006861460105
44,0.3,1.1900289265141706
44,0.1,1.0676776332973168
44,0.01,1.0985086350605275
44,0.001,1.1158651132296105
45,0.3,1.1900289265141706
45,0.1,1.0676776332973168
45,0.01,1.0985086350605275
45,0.001,1.1159472759022036
46,0.3,1.1900289265141706
46,0.1,1.0676776332973168
