numhoras,max_depth,valor
20,4,4.69014264686792
20,5,2.2443443751971843
20,6,1.2348854388258315
20,7,0.8641282828464136
20,8,0.7931701191685409
20,9,0.7991851316183909
20,10,0.8044092934711607
20,14,0.830052795875241
20,18,0.8393569098271649
20,20,0.8435758387440916
20,30,0.8391138150116058
20,40,0.8405071554011234
20,50,0.8405071554011234
20,75,0.8405071554011234
20,100,0.8405071554011234
20,150,0.8405071554011234
20,200,0.8405071554011234
20,300,0.8405071554011234
20,400,0.8405071554011234
30,1,21.035063712966245
30,2,23.190008366931604
30,3,8.512346207648399
30,4,4.682488523576501
30,5,2.278246763197878
30,6,1.240196071580697
30,7,0.8840586691135804
30,8,0.8006578323111835
30,9,0.8017452058239974
30,10,0.8256874112547123
30,14,0.8387284117360113
30,18,0.8606201512995394
30,20,0.8486068488823167
30,30,0.8440528588754772
30,40,0.8499442105404832
30,50,0.8499442105404832
30,75,0.8499442105404832
30,100,0.8499442105404832
30,150,0.8499442105404832
30,200,0.8499442105404832
30,300,0.8499442105404832
30,400,0.8499442105404832
40,1,21.03903161889691
40,2,23.13604229169596
40,3,8.433992166002007
40,4,4.67543246939231
40,5,2.2400836543325213
40,6,1.2220522975849066
40,7,0.8661586745617483
40,8,0.7958725348559726
40,9,0.804467990778431
40,10,0.8121988186940787
40,14,0.8387814853990285
40,18,0.848305406973213
40,20,0.8436825464672375
40,30,0.8525351231953544
40,40,0.8496685677523935
40,50,0.8496685677523935
40,75,0.8496685677523935
40,100,0.8496685677523935
40,150,0.8496685677523935
40,200,0.8496685677523935
40,300,0.8496685677523935
40,400,0.8496685677523935
50,1,21.055052517027182
50,2,23.100091786154316
50,3,8.42276182773048
50,4,4.6365475752608445
50,5,2.229880266472516
50,6,1.2151445242386152
50,7,0.8564272649057387
50,8,0.7832720320725955
50,9,0.7962520903688588
50,10,0.800391672482042
50,14,0.8314890130264404
50,18,0.8291304385676148
50,20,0.8271123458303189
50,30,0.8342739299998956
50,40,0.8279256812640273
50,50,0.8279256812640273
50,75,0.8279256812640273
50,100,0.8279256812640273
50,150,0.8279256812640273
50,200,0.8279256812640273
50,300,0.8279256812640273
50,400,0.8279256812640273
75,1,21.08664398731919
75,2,23.058154191220464
75,3,8.342290406796618
75,4,4.611213971517341
75,5,2.2411189022571376
75,6,1.2056342552642172
75,7,0.864265662681884
75,8,0.8066197323899288
75,9,0.8099503685947578
75,10,0.8339449250658839
75,14,0.8481258395842569
75,18,0.8548082654478336
75,20,0.847676494850939
75,30,0.840481154285407
75,40,0.8409320381816404
75,50,0.8409320381816404
75,75,0.8409320381816404
75,100,0.8409320381816404
75,150,0.8409320381816404
75,200,0.8409320381816404
75,300,0.8409320381816404
75,400,0.8409320381816404
100,1,21.117908347851767
100,2,23.022174784693693
100,3,8.354449139012022
100,4,4.611537299780014
100,5,2.2395396551354807
100,6,1.2125681247642703
100,7,0.8618971132152912
100,8,0.8074886159987357
100,9,0.8147528566228122
100,10,0.8251843687862099
100,14,0.8515387532200247
100,18,0.8529971588897336
100,20,0.8531069778810707
100,30,0.854639546111533
100,40,0.8470351684799012
100,50,0.8476566866275441
100,75,0.8476566866275441
100,100,0.8476566866275441
100,150,0.8476566866275441
100,200,0.8476566866275441
100,300,0.8476566866275441
100,400,0.8476566866275441
