numhoras,max_depth,valor
20,4,4.682721793228603
20,5,2.2443443751971803
20,6,1.2464378378277587
20,7,0.8881843257622446
20,8,0.8036205058049929
20,9,0.8033704802642064
20,10,0.810808030516814
20,14,0.8290908505715499
20,18,0.8392069208203266
20,20,0.8375420804544166
20,30,0.8325679858648213
20,40,0.8411915065375527
20,50,0.8411915065375527
20,75,0.8411915065375527
20,100,0.8411915065375527
20,150,0.8411915065375527
20,200,0.8411915065375527
20,300,0.8411915065375527
20,400,0.8411915065375527
30,1,21.035063712966238
30,2,23.190008366931615
30,3,8.507331017453277
30,4,4.6824885235765015
30,5,2.279098962544551
30,6,1.2416239325345753
30,7,0.9078526795361684
30,8,0.8192188044501432
30,9,0.8204863081504492
30,10,0.8293966615918089
30,14,0.8440245792643396
30,18,0.854414820326737
30,20,0.850846063945233
30,30,0.8514124887176391
30,40,0.8534877470297276
30,50,0.8534877470297276
30,75,0.8534877470297276
30,100,0.8534877470297276
30,150,0.8534877470297276
30,200,0.8534877470297276
30,300,0.8534877470297276
30,400,0.8534877470297276
40,1,21.03903161889691
40,2,23.136042291695944
40,3,8.447261906818152
40,4,4.67302074335687
40,5,2.2400836543325213
40,6,1.2468646091042426
40,7,0.9187089190571197
40,8,0.8345512567523149
40,9,0.8461496951972556
40,10,0.8550623418816535
40,14,0.8749777342283892
40,18,0.8756230808946384
40,20,0.8716079271501056
40,30,0.8781743578981884
40,40,0.8756020686954292
40,50,0.8756020686954292
40,75,0.8756020686954292
40,100,0.8756020686954292
40,150,0.8756020686954292
40,200,0.8756020686954292
40,300,0.8756020686954292
40,400,0.8756020686954292
50,1,21.05505251702717
50,2,23.100091786154316
50,3,8.412336514008429
50,4,4.642152985472161
50,5,2.2280426514221197
50,6,1.2458905948890133
50,7,0.8974002311856337
50,8,0.8185286627670858
50,9,0.8299773006475136
50,10,0.8337001730319116
50,14,0.8521899243383391
50,18,0.8593425870482443
50,20,0.8567365627513476
50,30,0.8618904398281829
50,40,0.8575440025138178
50,50,0.8575440025138178
50,75,0.8575440025138178
50,100,0.8575440025138178
50,150,0.8575440025138178
50,200,0.8575440025138178
50,300,0.8575440025138178
50,400,0.8575440025138178
75,1,21.08664398731919
75,2,23.058154191220464
75,3,8.341290858352934
75,4,4.612684802482552
75,5,2.2407373543543603
75,6,1.237815677090298
75,7,0.876121030906962
75,8,0.802891722129909
75,9,0.811109034379095
75,10,0.8121814172117195
75,14,0.8260121887493467
75,18,0.8373033672743542
75,20,0.8405532011897161
75,30,0.8340642513107175
75,40,0.830571490298685
75,50,0.830571490298685
75,75,0.830571490298685
75,100,0.830571490298685
75,150,0.830571490298685
75,200,0.830571490298685
75,300,0.830571490298685
75,400,0.830571490298685
100,1,21.117908347851763
100,2,23.022174784693696
100,3,8.358849022026787
100,4,4.611537299780017
100,5,2.2395396551354816
100,6,1.2409311417109854
100,7,0.8941137923982804
100,8,0.8204548765748068
100,9,0.8282029773753856
100,10,0.8406482070226078
100,14,0.857380830591947
100,18,0.8583684939604357
100,20,0.8583800589074064
100,30,0.858702387023638
100,40,0.8590281678381138
100,50,0.8590281678381138
100,75,0.8590281678381138
100,100,0.8590281678381138
100,150,0.8590281678381138
100,200,0.8590281678381138
100,300,0.8590281678381138
100,400,0.8590281678381138
